City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Half Moon Bay,US,37.4636,-122.4286,99.88,14,0,19.57
1,Port Alfred,ZA,-33.5906,26.891,64.06,86,100,15.37
2,Florianopolis,BR,-27.6146,-48.5012,65.35,98,75,6.91
3,Bluff,NZ,-46.6,168.3333,48.79,73,3,4.07
4,Luanda,AO,-8.8368,13.2343,68.0,83,75,4.61
5,Rio Pomba,BR,-21.2747,-43.1792,58.75,89,0,2.06
6,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,12.66
7,Collie,AU,-33.3667,116.15,62.47,87,99,8.75
8,Golkoy,TR,40.6875,37.6178,63.81,94,99,2.98
9,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,37,20,13.8
10,Albany,US,42.6001,-73.9662,61.66,92,100,1.99
11,Barrow,US,71.2906,-156.7887,44.62,81,0,11.5
12,Lorengau,PG,-2.0226,147.2712,84.09,70,100,7.27
13,Tura,IN,25.5198,90.2201,81.43,74,53,4.09
14,Ushuaia,AR,-54.8,-68.3,37.06,81,75,26.46
15,Salalah,OM,17.0151,54.0924,82.49,89,75,11.5
16,Hamilton,US,39.1834,-84.5333,79.99,68,0,1.01
17,Qaqortoq,GL,60.7167,-46.0333,39.0,83,0,0.83
18,Tessalit,ML,20.1986,1.0114,91.49,15,86,1.57
19,Narrabri,AU,-30.3167,149.7833,65.52,39,0,4.0
20,Busselton,AU,-33.65,115.3333,66.18,68,69,16.58
21,El Carmen,CO,8.5106,-73.4478,67.48,96,96,4.05
22,Providencia,MX,28.7167,-111.5833,94.21,56,0,8.08
23,Ribeira Grande,PT,38.5167,-28.7,64.35,84,10,19.46
24,Mackenzie,CA,55.2999,-123.1698,55.62,88,100,4.61
25,Hermanus,ZA,-34.4187,19.2345,54.81,83,100,7.05
26,Itoman,JP,26.1247,127.6694,86.77,81,20,11.5
27,Pevek,RU,69.7008,170.3133,33.8,69,32,3.85
28,Howard Springs,AU,-12.497,131.047,82.98,51,51,14.23
29,Chokurdakh,RU,70.6333,147.9167,58.78,40,100,16.98
30,Tsagan Aman,RU,47.5639,46.7218,76.44,39,69,6.15
31,Pozo Colorado,PY,-23.4923,-58.7972,71.22,61,63,3.44
32,Thompson,CA,55.7435,-97.8558,69.96,35,20,13.8
33,Okha,RU,53.5739,142.9478,57.52,75,24,19.64
34,Kapaa,US,22.0752,-159.319,82.38,79,20,13.8
35,Senneterre,CA,48.3835,-77.2328,66.61,99,100,10.38
36,Hilo,US,19.7297,-155.09,80.33,73,75,11.5
37,Saint-Philippe,RE,-21.3585,55.7679,63.99,68,18,8.84
38,Jamestown,US,42.097,-79.2353,76.64,64,0,8.05
39,Rikitea,PF,-23.1203,-134.9692,73.22,65,40,9.66
40,Vaini,TO,-21.2,-175.2,78.96,65,20,13.8
41,Hithadhoo,MV,-0.6,73.0833,84.42,70,100,9.51
42,Verkh-Usugli,RU,52.7,115.1667,72.95,39,36,4.5
43,Ciudad Bolivar,VE,8.1222,-63.5497,77.23,85,98,8.81
44,Jalu,LY,29.0331,21.5482,76.23,32,0,5.66
45,Myanaung,MM,18.2833,95.3167,78.33,84,100,8.28
46,Grand Gaube,MU,-20.0064,57.6608,65.37,65,0,3.0
47,Tinskoy,RU,56.1525,96.9161,71.01,43,0,7.61
48,Korla,CN,41.7597,86.1469,88.12,16,98,17.38
49,Upernavik,GL,72.7868,-56.1549,34.14,99,100,8.79
50,Zyryanka,RU,65.75,150.85,66.6,37,6,12.1
51,Yellowknife,CA,62.456,-114.3525,70.32,40,75,4.61
52,Biak,ID,-0.9131,122.8766,81.5,74,100,7.61
53,Cockburn Town,TC,21.4612,-71.1419,80.69,78,100,9.6
54,Dikson,RU,73.5069,80.5464,35.28,89,100,17.05
55,Parlakimidi,IN,18.7667,84.0833,86.68,61,93,3.31
56,Anadyr,RU,64.75,177.4833,54.1,82,75,2.24
57,San Vicente,AR,-26.6167,-54.1333,61.77,98,88,3.22
58,Kandi,BJ,11.1342,2.9386,74.17,89,100,6.06
59,Cape Town,ZA,-33.9258,18.4232,58.91,89,96,4.0
60,Cleburne,US,32.3476,-97.3867,92.52,47,0,8.05
61,Penco,CL,-36.7333,-72.9833,52.65,82,100,5.75
62,Curaca,BR,-8.9903,-39.9094,69.64,86,41,11.39
63,Torbay,CA,47.6666,-52.7314,61.88,98,100,12.66
64,Yarada,IN,17.65,83.2667,84.52,79,75,3.44
65,Kirakira,SB,-10.4544,161.9205,84.09,73,17,7.27
66,Bambous Virieux,MU,-20.3428,57.7575,65.21,82,20,5.75
67,Coihaique,CL,-45.5752,-72.0662,23.61,86,0,0.0
68,Kampong Cham,KH,11.9934,105.4635,87.48,65,84,4.97
69,Mataura,NZ,-46.1927,168.8643,48.47,64,0,0.65
70,Talnakh,RU,69.4865,88.3972,79.21,36,50,7.76
71,Lagoa,PT,39.05,-27.9833,63.66,86,74,15.79
72,Goderich,CA,43.7501,-81.7165,68.88,85,95,12.06
73,Khandyga,RU,62.6667,135.6,73.98,54,100,0.56
74,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,83,34,8.57
75,Along,IN,28.1667,94.7667,81.73,86,93,1.61
76,Farah,AF,32.5,62.5,70.65,22,0,6.02
77,Kropotkin,RU,45.4375,40.5756,64.65,93,100,5.95
78,Klaksvik,FO,62.2266,-6.589,49.12,93,99,28.77
79,Kendari,ID,-3.945,122.4989,77.22,91,100,0.76
80,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,48,3.0
81,Rio Grande,BR,-32.035,-52.0986,55.94,95,100,9.31
82,Carnarvon,AU,-24.8667,113.6333,73.9,38,1,2.3
83,Kodiak,US,57.79,-152.4072,72.91,38,0,12.66
84,Mount Gambier,AU,-37.8333,140.7667,57.92,81,100,6.76
85,Georgetown,MY,5.4112,100.3354,82.35,88,40,6.91
86,Avarua,CK,-21.2078,-159.775,80.65,83,75,10.36
87,Caluquembe,AO,-13.7833,14.6833,49.01,33,3,3.09
88,Punta Arenas,CL,-53.15,-70.9167,37.51,70,0,18.41
89,Butaritari,KI,3.0707,172.7902,83.12,70,47,14.65
90,Brae,GB,60.3964,-1.353,50.83,92,100,15.35
91,Castro,BR,-24.7911,-50.0119,59.38,91,54,5.48
92,Pangkalanbuun,ID,-2.6833,111.6167,86.16,65,93,4.63
93,Hualmay,PE,-11.0964,-77.6139,61.86,81,78,8.77
94,Ulaangom,MN,49.9811,92.0667,74.75,34,22,5.28
95,Cherskiy,RU,68.75,161.3,55.72,33,6,7.47
96,Mar Del Plata,AR,-38.0023,-57.5575,47.08,55,40,8.05
97,Sorel,CA,46.0418,-73.1136,64.33,92,97,3.87
98,Tarakan,ID,3.3,117.6333,83.7,79,40,3.44
99,Palana,RU,59.1167,159.9667,44.35,85,100,17.54
100,Luau,AO,-10.7073,22.2247,55.94,51,0,4.21
101,Gallup,US,35.5281,-108.7426,74.16,35,75,9.22
102,Pangnirtung,CA,66.1451,-65.7125,39.85,69,4,2.57
103,Romilly-Sur-Seine,FR,48.5108,3.7263,66.58,84,100,5.44
104,Magadan,RU,59.5667,150.8,58.53,87,100,7.23
105,Ola,RU,59.5833,151.2833,59.14,90,100,8.1
106,Belyy Yar,RU,53.6039,91.3903,70.86,63,0,4.47
107,Khatanga,RU,71.9667,102.5,51.93,60,100,10.36
108,Nanortalik,GL,60.1432,-45.2371,36.99,88,78,16.78
109,Orchard Homes,US,46.8633,-114.0484,73.54,33,75,4.61
110,Taos,US,36.4072,-105.5731,63.27,50,75,23.02
111,Halifax,CA,44.6453,-63.5724,55.89,90,40,1.14
112,Umm Lajj,SA,25.0213,37.2685,79.81,72,0,12.41
113,Polonnaruwa,LK,7.9333,81.0,84.96,59,100,13.85
114,Tiksi,RU,71.6872,128.8694,37.87,85,100,16.6
115,Atuona,PF,-9.8,-139.0333,77.94,76,7,23.38
116,Antofagasta,CL,-23.65,-70.4,54.68,75,0,3.44
117,Arraial Do Cabo,BR,-22.9661,-42.0278,70.66,91,0,23.17
118,Bardoli,IN,21.1167,73.1167,80.35,73,72,9.71
119,Sao Filipe,CV,14.8961,-24.4956,75.15,89,8,2.64
